ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1507,36.57730175,-0.502565609,0.002481203,,,,,,,,,X,,,
1508,36.63520984,-0.230714905,0.003630424,,,,,,,X,,,,,
1509,36.64506994,-0.61037183,0.003435505,,,,,,,,,,X,,
1510,36.65342253,0.318728192,0.004113624,,,,,,,,,,X,,
1511,36.70014972,0.086583981,0.003144104,,,,,,,,,,X,,
1512,36.72299132,-0.160416816,0.002685553,,,,,,,,,,X,,
1513,36.77043296,-0.29661981,0.003552067,,,,,,,,,,X,,kind of oblong
1514,36.78257623,0.082567191,0.002713005,,,,,,,X,,,,,two sources
1515,36.78875407,-0.203604318,0.002007848,,,,,,,,,X,,,
1516,36.82203356,0.010322255,0.003720469,,X,,,,,,,,,,
1517,36.84066859,0.117703889,0.003460286,,,,,,,,,X,,,
1518,36.8480035,-0.136382115,0.008177922,,,,,,,,,,X,,
1519,36.85301025,-0.130511934,0.003653596,,,,,,,X,,,,,
1520,36.86807699,0.461240283,0.001911757,,,,,,,,,,X,,
1521,36.87702941,0.500837208,0.002823756,,,,,,,X,,,,,
1522,36.89443285,-0.133885525,0.004174659,,,,,,,,,,X,,next to other sources
1523,36.90574674,0.131707743,0.002984691,,,,,,,,,,X,,
1524,36.90884007,-0.30916816,0.002263836,,,,,,,X,,,,,
1525,36.91976767,0.482589824,0.005364838,X,,,,,,,,,,,
1526,36.99485189,-0.231176936,0.004566169,,,,,,,,,,X,,
1527,37.04137008,-0.03238199,0.005388573,,,,,,,,,,X,,next to bubble rim but not on it
1528,37.14904388,0.305475281,0.002469711,,,,,,,,,,X,,in a cluster
1529,37.16481429,-0.355996037,0.00224338,,,,,,,,,,X,,right next to another source
1530,37.25815507,-0.376377849,0.002500595,,,,,,,,X,,,,
1531,37.27807024,0.099218962,0.002240372,,,,,,,,,,X,,
1532,37.28307774,-0.451621597,0.002226195,,,,,,,,,,X,,in cluster
1533,37.31816661,0.16251234,0.00275865,,,,,,,,X,,,,
1534,37.32004663,0.168765761,0.003417113,,,,,,,,,,X,,
1535,37.33581252,-0.059673922,0.003580657,,,,,,,,,,X,,
1536,37.34038488,-0.060698839,0.002600254,,,,,,,,,,X,,
1537,37.34188133,0.685679352,0.004571179,,,,,,,,,,X,,
1538,37.35445429,-0.232044444,0.003922211,,X,,,,,,,,,,
1539,37.36410176,-0.23594345,0.002735625,,X,,,,,,,,,,
1540,37.38100263,-0.08180732,0.002171489,X,,,,,,,,,,,
1541,37.45398034,-0.005791537,0.003050943,,,,,,,,,,X,,
1542,37.45856113,-0.0607744,0.003207816,,X,,,,,,,,,,
1543,37.46835675,-0.104126803,0.00295452,,,,,,,,,,X,,
1544,37.48618144,0.522849329,0.002945439,,X,,,,,,,,,,
1545,37.49132611,0.786703872,0.002796518,,,,,,,,,,X,,
1546,37.49740505,0.530403459,0.004163429,,,,,,,X,,,,,
1547,37.52249156,0.777069291,0.003467266,,,,,,,,,,X,,
1548,37.54431227,-0.111353873,0.004732018,,,,,,,,,,X,,large
1549,37.54609208,-0.118471432,0.003810077,,X,,,,,,,,,,
1550,37.58047311,0.283139142,0.002094028,,,,,,,,,X,,,
1551,37.61495936,-0.311105841,0.002697511,,,,,,,,,,X,,
1552,37.63915414,-0.105510927,0.003643641,,,X,,,,,,,,,
1553,37.66460036,-0.332268161,0.003328957,,,,,,,,,,X,,
1554,37.66546522,-0.322816823,0.003341996,,,,,,,,,,X,,
1555,37.68969545,0.069968609,0.003220576,,,X,,,,X,,,,,
1556,37.6975655,0.038977651,0.001279284,,,,,,,,,,X,,
1557,37.70377996,0.031287448,0.004412099,,,,,,,,,,X,,
1558,37.70613715,-0.427604047,0.003342802,,,,,,,,,,X,,
1559,37.75647328,0.560249458,0.004421017,,X,,,,,,,,,,
1560,37.76404015,-0.21249708,0.008264853,,X,,,,,,,,,,
1561,37.77417811,0.351089973,0.003640406,,,,,,,,,,X,,
1562,37.77987857,0.107322813,0.002471864,,,,,,,,,,X,,
1563,37.8000159,-0.371952127,0.002757431,,,,,,,,,,X,,
1564,37.81466988,-0.379028059,0.006687602,,X,,,,,,,,,,
1565,37.81959582,0.413304121,0.005196123,,,,,,,X,,,,,
1566,37.82239878,-0.299957997,0.002905984,,,X,,,,,,,,,
1567,37.82543348,0.405362636,0.002590374,,,,,,,,,,X,,
1568,37.8606775,0.145303573,0.002497327,,,,,,,X,,,,,two sources right next to each other
1569,37.8657905,-0.602697605,0.00609708,,,,,,,,,,X,,
1570,37.87427929,-0.399754263,0.006204087,,X,,,,,,,,,,
1571,37.90103272,0.318774681,0.003733503,,,,,,,,,,X,,
1572,37.94966598,-0.489120745,0.003368823,,,,,,,X,,,,,
1573,37.97197638,-0.096195425,0.003603572,,,,,,,,,,X,,
1574,38.07177694,0.312416843,0.00205952,,,,,,,,,X,,,
1575,38.09172014,0.277635635,0.003610183,,,,,,,,,,X,,
1576,38.09806088,0.355061318,0.002594255,,,,,,,,,,X,,
1577,38.09942169,0.675023026,0.00499239,,,,,,,,X,,,,
1578,38.12182116,-0.225387886,0.004841546,,,,,,,,,,X,,looks like two sources
1579,38.19083806,-0.16067924,0.002787811,,,,,,,,,,X,,
1580,38.22140415,0.24816073,0.004094832,,X,,,,,,,,,,
1581,38.26379772,0.620479389,0.004136122,X,,,,,,,,,,,
1582,38.29718191,-0.209762244,0.002185155,,,,,,,,,,X,,
1583,38.30376716,0.110923968,0.002554091,,,,,,,,X,,,,
1584,38.30961577,0.907170767,0.001735825,,,,,,,,X,,,,
1585,38.32969029,-0.223402469,0.002808943,,,,,,,,,,X,,
1586,38.3460766,-0.055771442,0.002181183,,,,,,,,,X,,,
1587,38.35882667,0.001989662,0.002416722,,,,,,,,,,X,,
1588,38.37724309,0.170241264,0.005147783,,,,,,,,,X,,,
1589,38.46480941,-0.06412856,0.004041634,,,,,,,X,,,,,
1590,38.53007013,0.230263757,0.003870306,,,,,,,,,,X,,
1591,38.53959886,-0.30300386,0.002604004,,,,,,,,,X,,,
1592,38.54985364,0.162819438,0.005876845,,,,,,,,,,X,,
1593,38.62138666,-0.188057193,0.003341068,,,,,,,,,,X,,
1594,38.64639689,-0.226082376,0.004592081,,X,,,,,,,,,,
1595,38.6932993,-0.452228101,0.003295214,,,,,,,,,,X,,by other source
1596,38.72273446,-0.13077799,0.003980189,,X,,,,,,,,,,
1597,38.75230598,0.176083739,0.003371398,,,,,,,,,,X,,right by another source
1598,38.75456969,-0.526601227,0.006031778,,,,,,,X,,,,,strange shape
1599,38.77822012,0.10091226,0.003791268,,,,,,,,,X,,,
1600,38.80441134,0.099529676,0.004195376,,,,,,,X,,,,,
1601,38.85738222,-0.524048973,0.004744243,,,,,,,,,,X,,crescent shaped
1602,38.87480545,0.056095959,0.00222383,,,,,,,,X,,,,
1603,38.87529545,0.309002422,0.004338739,,,,,,,,,,X,,
1604,38.87880202,-0.147363297,0.00220739,,,,,X,,,,,,,
1605,38.90522878,-0.461908043,0.003022046,,X,,,,,,,,,,
1606,38.91456114,-0.148241447,0.00375508,,,,,,,,,X,,,
1607,38.91465789,-0.194108258,0.002709822,,,,,,,,,,X,,
1608,38.92630429,-0.35209623,0.00402128,,,,X,,,,,,,,
1609,38.93154578,-1.003604613,0.006581192,,,X,,,,,,,,,
1610,38.93252408,0.399493802,0.001986744,,,,,,,,,X,,,
1611,38.95445004,0.27091145,0.003109011,,,,,,,,,,X,,
1612,38.98018077,-0.272612515,0.003703268,,,,,,,X,,,,,
1613,39.05374516,0.217852691,0.002102664,,,,,,,,,X,,,
1614,39.11260438,0.504226171,0.002028327,,,,,,,,,,X,,
1615,39.15068143,-0.286562689,0.00365909,,,,,,,,X,,,,
1616,39.16055776,0.736032284,0.00211604,,,,,,,,,X,,,
1617,39.16115004,-0.165936479,0.003172414,,,,,,,,,,X,,
1618,39.17054553,0.578869675,0.002022447,,,,,,,,,X,,,
1619,39.1888564,-0.564630864,0.002554561,,,,,,,,,,X,,
1620,39.19554624,0.224348845,0.004268299,,,,,,,,,,X,,
1621,39.21443576,0.2023756,0.003570663,,,,,,,,,,X,,
1622,39.23843762,-0.555813842,0.002400127,,,,,,,,,,X,,
1623,39.2451128,-0.062390677,0.007475035,X,,,,,,,,,,,looks like two bubbles
1624,39.24919117,-0.063942319,0.006762034,,X,,,,,,,,,,
1625,39.27135807,0.346478523,0.003672907,,,,,,,,,X,,,
1626,39.27641349,-0.315809939,0.001705763,,X,,,,,,,,,,
1627,39.27656219,0.036433663,0.001964841,,,,,,,,X,,,,
1628,39.29507004,-0.255700046,0.003233552,,,,,,,,,,X,,
1629,39.30754772,-0.350817158,0.002422422,,,X,,,,,,,,,
1630,39.3091416,-0.308977764,0.001715654,,,,,,,,X,,,,
1631,39.33141819,0.336584186,0.002078106,,,,,,,,X,,,,
1632,39.33299806,-0.093367785,0.002324686,,,,,,,,,X,,,
1633,39.36222669,-0.331652183,0.003364254,,,,,,,,,,X,,
1634,39.38835852,-0.143555314,0.002795131,,,,,,,X,,,,,
1635,39.39772718,0.105708866,0.001629568,,,,,,,,,X,,,
1636,39.43340023,-0.187659317,0.003624977,,X,,,,,,,,,,
1637,39.46651907,-0.13289691,0.002072526,,,,,,,,,X,,,
1638,39.49098868,0.673600897,0.004822066,,,,,,,,,,X,,
1639,39.50586508,-0.28082841,0.004354396,X,,,,,,,,,,,
1640,39.51433453,0.632513612,0.002684492,,,,,,,,X,,,,
1641,39.52812638,-0.455503075,0.0052752,X,,,,,,,,,,,
1642,39.52814946,-0.185360155,0.001742807,,,,,,,,,,X,,
1643,39.53641055,0.870516805,0.005271947,,X,,,,,,,,,,
1644,39.5391947,0.877038702,0.002593186,X,,,,,,,,,,,
1645,39.54517791,-0.366106708,0.00685899,X,,,,,,,,,,,
1646,39.55078297,-0.156452367,0.0028953,X,,,,,,,,,,,
1647,39.55264286,-0.428826728,0.001643165,,,,,,,,,X,,,
1648,39.55275557,-0.164263478,0.003449595,,,,,,,,,X,,,
1649,39.56181296,-0.429837141,0.001824846,,,,,,,,,,X,,
1650,39.56298559,-0.424546353,0.001845887,,,,,,,,,,X,,
1651,39.56688602,0.413166239,0.002433102,,,,,,,,,,X,,
1652,39.56883802,0.012325233,0.003214461,,X,,,,,,,,,,
1653,39.57531219,0.010631973,0.002313687,,X,,,,,,,,,,
1654,39.58273983,-0.185730862,0.002973394,,,,,,,,,,X,,
1655,39.58445505,0.005429817,0.00258873,X,,,,,,,,,,,
1656,39.64882993,-0.293380891,0.004738291,,,,,,,X,,,,,
1657,39.66517475,-0.154580595,0.003362553,X,,,,,,,,,,,
1658,39.67214098,-0.457654307,0.004605378,,,,,,,,,,X,,
1659,39.72829255,-0.397111269,0.005070845,X,,,,,,,,,,,
1660,39.73223335,0.439770402,0.002357238,,,,,,,,,X,,,
1661,39.83497058,-0.233751251,0.003367895,X,,,,,,,,,,,"crescent shaped, looks like beginning phase of bubble"
1662,39.84978538,-0.198472024,0.001445482,,,,,,,,,,X,,
1663,39.85351959,-0.209031765,0.002307697,,X,,,,,X,,,,,
1664,39.85617101,-0.130968727,0.00245297,,,,,,,,X,,,,
1665,39.86604857,0.646773154,0.006189745,X,,,,,,,,,,,
1666,39.88268732,-0.346120228,0.005004363,,,,,,,,,,X,,
1667,39.89873559,-0.075664935,0.00272617,,,,,,,X,,,,,
1668,39.92849999,-0.374572067,0.004237729,,,X,,,,,,,,,
1669,39.93410259,0.132971301,0.004472423,,,,,,,X,,,,,
1670,39.97771478,-0.092047303,0.002374217,,,,,,,,X,,,,
