ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1231,31.26955289,0.064279303,0.003197918,,,,,,,X,,,,,Large
1232,31.27786475,0.064277411,0.002504762,,,,,,,,,X,,,Faint fuzzy bubble
1233,31.29964957,-0.131462114,0.001917726,,X,,,,,,,,,,On the edge of a bubble maybe and is in the same cluster as the one above
1234,31.3027423,-0.134010068,0.002008363,,,,,,,,,,X,,
1235,31.30648205,-0.136195122,0.004135136,,,,,,,,,,X,,
1236,31.31093153,0.531892904,0.004971321,X,,,,,,,,,,,Has mino tail that makes it look like bubble
1237,31.33080333,-0.158888004,0.002062307,,,,,,,,,,,,Two sources very faint and not far apart
1238,31.39427863,-0.258389021,0.00348164,X,,,,,,,X,,,,
1239,31.40910293,0.308457799,0.002891187,,,,,,,,,,X,,Faint and fuzzy bubble
1240,31.40911678,0.305022752,0.00191535,,,,,,,,,,,,
1241,31.4128379,0.047567004,0.003114553,,,,,,,X,,,,,Right next to another YB
1242,31.41372642,0.310076118,0.002382407,,,,,,,,,,X,,
1243,31.42025795,-0.157968975,0.00198494,,,,,,,,,,,,
1244,31.42702291,-0.139810322,0.003433707,,,,,,,X,,,,,
1245,31.4309394,0.288041834,0.001666519,,,,,,,,,,X,,
1246,31.44630805,0.768070696,0.006190563,,,,,,,,,,X,,Next to bubble but not on its edge
1247,31.47518294,-0.347116888,0.002616081,,,,,,,,,,,,
1248,31.5082403,-0.245358592,0.002672264,,,,,,,X,,,,,Two sources
1249,31.55336099,-0.096795547,0.002362278,,,X,,,,,,,,,
1250,31.55909602,-0.123263656,0.004699079,,,,,,,X,,,,,Two sources
1251,31.56075128,0.376050928,0.00299089,,,,,,,,,,X,,Right next to another YB
1252,31.56666906,-0.270574412,0.004722562,,,,,,,X,,,,,Has a tail off the YB
1253,31.5745008,0.228474714,0.00206955,,,,,,,,,,,,On top of a faint filament
1254,31.57921796,0.075147204,0.003225014,,,,,,,X,,,,,
1255,31.59186438,-0.192752252,0.001706515,,,,,,,,,,X,,
1256,31.59262189,0.324217354,0.002297137,,,,,,,,,,X,,Faint buzz bubble
1257,31.59679626,-0.340714146,0.002784923,,,,,,,,,,X,,Maybe on the edge of a bubble
1258,31.59805641,-0.679970419,0.002064077,,,X,,,,,,,,,
1259,31.61109698,0.090249162,0.001998364,,X,,,,,,,,,,
1260,31.642863,-0.267028444,0.003290535,,,,,,,,X,,,,
1261,31.66121624,0.366998186,0.003235322,,X,,,,,,,,,,
1262,31.6746624,0.239424471,0.003612228,,,,,,,,,,,,
1263,31.68212741,-0.151829645,0.002277381,,,,,,,,,,X,,Connected to a larger warm dust body
1264,31.72940938,0.700476915,0.001659854,,,,,,,,X,,,,
1265,31.73778142,-0.182379511,0.00301458,,,,,X,,,,,,,Culd possibly be a point source plus as there are maybe two points
1266,31.75678162,-0.782314243,0.004285314,,,,,,,,,,X,,Structure on a filament
1267,31.79008806,-0.305959526,0.003855999,,,,,,,,X,,,,
1268,31.82063592,-0.113153494,0.004958394,,,,,,,,,,X,,On the edge of a bubble or a filament (unsure)
1269,31.82427522,-0.113379275,0.004279085,,,,,X,,,,,,,Two sources
1270,31.8358804,-0.140841828,0.001690041,,X,,,,,,,,,,Cluster of Ybs on edge of bubble
1271,31.83774072,-0.128719687,0.002585556,,,,,,,,,,X,,
1272,31.8420179,-0.116447078,0.003066583,X,,,,,,,,X,,,Faint fuzzy looks like bubble
1273,31.91336826,0.195635525,0.002509806,,,,,,,,,,X,,Near dark cloud
1274,31.91596517,0.440003878,0.003846642,,,,,,,,,,X,,
1275,31.94677428,0.065421096,0.002059556,,,,,,,,,,X,,
1276,31.98534351,-0.557388898,0.00332436,,,,,,,X,,,X,,"Very faint, several sources"
1277,32.021994,0.066533466,0.002986799,,,,,X,,,,,,,Could be a bubble edge and not a filament
1278,32.03020732,0.049879578,0.005170976,,,,,,,,,,X,,
1279,32.06321702,0.80790111,0.006005498,,,X,,,,X,,,,,Two little whispy legs off main point
1280,32.06817744,-0.089799599,0.001460706,X,,,,,,,,,,,"Looks to be a bubble, cluster"
1281,32.10483484,-0.372784276,0.002803789,,,,,,,,,,,,Part of a large bright blob
1282,32.11265808,0.096554103,0.002104863,,,,,,,X,,,,,
1283,32.11988437,0.090934665,0.003143992,,,,,,,,,,,,Part of larger bright dust blob
1284,32.13136356,-0.091576667,0.002959596,,,,,,,,,,X,,
1285,32.13397091,0.90223789,0.003754785,,,,,,,,,,X,,
1286,32.1520191,0.131369542,0.004805574,,,,,,,X,,,,,Inside a bubble and is a point source plus
1287,32.15373068,-0.278929738,0.004244717,,,,X,,,,,,,,
1288,32.27117125,-0.226111453,0.001574951,,,,,,,,,,X,,
1289,32.30573485,0.374077641,0.004344876,,,,,,,X,,,,,Near dark cloud
1290,32.31820651,-0.384156195,0.002655055,,X,,,,,,,,,,
1291,32.32323692,0.780839606,0.00231564,,,,,,,,,,X,,
1292,32.32746641,0.2558036,0.003119497,,,,,,,X,,,,,Fully encaputred by radius
1293,32.40008716,-0.328267141,0.002091182,,X,,,,,,,,,,
1294,32.40419271,0.162290035,0.003227636,,,,,X,,,,,,,
1295,32.42236569,0.078306821,0.004980847,X,,,,,,,,,,,
1296,32.4368631,0.416077649,0.002992777,,,,,,,X,,,,,Part of cluster with 52 and 53
1297,32.45818191,0.226066752,0.00188174,,,,,,,,X,,,,Touching a small buuble
1298,32.45822771,0.385581835,0.002478087,,,,,,,,X,,,,
1299,32.46353232,0.194109719,0.002445001,,,,,,,,,,,,
1300,32.46622382,0.200427319,0.003790425,,,,,,,,,,X,,
1301,32.473514,0.205644478,0.001628143,,,,,,,,,,X,,
1302,32.50756352,0.842581872,0.002753575,,,,,,,,,,X,,
1303,32.57647732,-0.623062777,0.004432937,,X,,,,,,,,,,Part of YB cluster mentioned above
1304,32.57798664,0.41915333,0.001896861,,,,,,,,X,,,,
1305,32.60104944,-0.251384074,0.004993392,,,,,X,,,,,,,
1306,32.61053412,-0.240903175,0.00434474,,X,,,,,,,,,,
1307,32.62680708,-0.101973384,0.002157465,,,,,,,,,,X,,
1308,32.63243029,-0.130948811,0.001882838,,,,,,,,,,X,,
1309,32.632485,-0.66207049,0.002846958,,,,,,,,,,X,,Two sources
1310,32.64853003,-0.648559669,0.002253981,,,,,,,,,,X,,
1311,32.69297207,0.046956598,0.004242179,,,,,,,,,,X,,
1312,32.70323151,-0.056339293,0.002902599,,,,,,,,,,X,,Part of a larger bright cloud
1313,32.70956274,-0.062482775,0.001941015,,,,,,,,,,X,,bubble/ two sources
1314,32.72309561,-0.295612198,0.001680995,,,,,,,,,,,,
1315,32.73955676,0.194441084,0.00175362,,X,,,,,,,,,,Could be on the edge of a bubble
1316,32.74573559,-0.073397213,0.005773865,,,,,,,,,,,,
1317,32.74835255,-0.063748921,0.004497522,,,,,,,,,,X,,"Can't see the YB, 24 micron saturated"
1318,32.76926217,-0.182820422,0.002903535,,,,,,,X,,,,,YB cluster in front of dark cloud
1319,32.772946,-0.05924745,0.002873977,,,,,,,,,,X,,
1320,32.77479152,0.184199381,0.004885313,,X,,,,,,,,,,Looks to be the center of a bubble and in a cluster of Ybs
1321,32.79228785,0.193346309,0.005134072,X,,,,,,,,,,,"May be a YB, faded with rim around like bubble"
1322,32.79413543,0.206211173,0.003685121,,,,,,,,,,X,,Mino tail
1323,32.79643753,0.188904707,0.003500214,,,,,,,,,,,,
1324,32.79714584,0.183967142,0.005086141,,,,,,,X,,,,,
1325,32.83251944,-0.215919103,0.001811736,,,,,,,,,,X,,Classic YB on a filament and on the edge of a bubble
1326,32.85985257,-0.410472741,0.003873646,,,,,,,,X,,,,
1327,32.87155415,0.696856403,0.002146371,,,,,,,,,,X,,
1328,32.88770103,-0.278227092,0.003660768,,X,,,,,,,,,,Very fuzzy
