ID,GLON,GLAT,r
2547,75.83374418,0.401318103,0.009523373
2548,75.84240749,0.360180084,0.004126039
2549,75.86203382,0.074669089,0.002001839
2550,75.88449653,0.085144766,0.003090862
2551,75.96968189,-0.14333493,0.008363553
2552,75.9925045,0.472318544,0.004657619
2553,76.00637376,0.369485868,0.00440827
2554,76.04723275,-0.584650456,0.004572277
2555,76.0495581,-0.581504687,0.007946511
2556,76.05246115,-0.579266149,0.00312602
2557,76.07862304,-0.623947161,0.006091167
2558,76.10209199,-0.20896946,0.004127928
2559,76.13608571,-0.447876234,0.004792982
2560,76.15320269,-0.283296985,0.007202782
2561,76.18064599,0.061830565,0.002342807
2562,76.18807393,0.097486778,0.006152111
2563,76.2193997,0.533373021,0.007463893
2564,76.24022415,-1.341459955,0.004466725
2565,76.32193786,-0.353145958,0.006657583
2566,76.35955401,-0.623159928,0.006004327
2567,76.38400076,-0.620287606,0.010265344
2568,76.38828301,0.381566975,0.002794595
2569,76.51130708,-1.091703167,0.006183923
2570,76.54958104,1.963823194,0.006883505
2571,76.55623302,0.73567703,0.006585304
2572,76.56269042,-0.11832524,0.002944513
2573,76.60639739,2.075448111,0.004642749
2574,76.69651982,1.975178309,0.003576975
2575,76.72687393,1.99530389,0.004186025
2576,76.74559265,-0.81839508,0.003894578
2577,76.75061896,1.427302555,0.001941616
2578,76.75695334,0.79755813,0.003094391
2579,76.75871497,1.429862873,0.002373907
2580,76.78328663,-0.009146766,0.004970269
2581,76.79052487,-0.270390463,0.005875253
2582,76.79160647,-0.392940219,0.005912469
2583,76.79549383,-0.171135181,0.00536878
2584,76.84204887,0.121948283,0.006859695
2585,76.85450256,1.491511157,0.004638115
2586,76.86334264,-0.434807984,0.005068681
2587,76.87570267,1.865723239,0.004234939
2588,76.87806678,1.626548364,0.004882261
2589,76.92441015,2.050113868,0.007521221
2590,76.9294353,2.032943698,0.005505502
2591,76.94191239,1.45093792,0.003208735
2592,76.9455298,1.446990018,0.009602722
2593,76.94678043,-0.392756413,0.005847819
2594,76.95008149,1.443477582,0.00337943
2595,76.96286482,-0.390955449,0.004742939
2596,76.99445465,1.50381162,0.001455098
2597,76.99712683,1.507012291,0.003234656
2598,76.99821611,1.514593664,0.004809457
2599,77.02590704,-0.265316918,0.005262095
2600,77.04677,0.677425592,0.004815007
2601,77.05045082,0.740945802,0.002697577
2602,77.06558629,-0.438316667,0.004934195
2603,77.07981613,0.408290482,0.00508159
2604,77.10716771,-1.090104537,0.004094967
2605,77.15678113,2.256870888,0.003194969
2606,77.17761618,2.243609663,0.00244489
2607,77.1797095,1.061254247,0.005186803
2608,77.18004201,-0.470638677,0.005787196
2609,77.18346814,-0.480072371,0.003758464
